Freestream Conditions:
Mach:               1.50
Flow AOA:           0.00 deg
u Velocity:       512.35 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
  10    4.52e-001    4.46e-001    1.20e+001     4.48e-001    68:28
  20    3.95e-001    3.98e-001    9.08e+000     3.96e-001    67:00
  30    3.25e-001    3.32e-001    7.15e+000     3.26e-001    65:49
  40    2.74e-001    2.85e-001    6.14e+000     2.77e-001    66:23
  50    2.44e-001    2.57e-001    5.35e+000     2.47e-001    64:42
  60    2.22e-001    2.36e-001    4.74e+000     2.24e-001    63:47
  70    2.06e-001    2.17e-001    4.22e+000     2.06e-001    64:19
  80    1.94e-001    1.96e-001    3.70e+000     1.88e-001    62:25
  90    1.85e-001    1.74e-001    3.06e+000     1.71e-001    61:30
 100    1.82e-001    1.67e-001    2.36e+000     1.66e-001    61:46
 110    1.75e-001    1.64e-001    2.04e+000     1.62e-001    60:23
 120    1.57e-001    1.41e-001    2.24e+000     1.42e-001    59:43
 130    1.34e-001    1.08e-001    2.49e+000     1.13e-001    59:15
 140    1.16e-001    8.70e-002    2.51e+000     9.32e-002    58:21
 150    1.06e-001    8.06e-002    2.34e+000     8.46e-002    59:00
 160    9.98e-002    7.93e-002    2.08e+000     8.10e-002    57:00
 170    9.38e-002    7.51e-002    1.87e+000     7.61e-002    56:06
 180    8.54e-002    6.51e-002    1.80e+000     6.73e-002    55:38
 190    7.70e-002    5.39e-002    1.80e+000     5.87e-002    55:10
 200    7.30e-002    4.99e-002    1.73e+000     5.69e-002    54:17
 210    7.38e-002    5.38e-002    1.57e+000     6.13e-002    53:36
 220    7.57e-002    5.83e-002    1.36e+000     6.60e-002    52:55
 230    7.58e-002    5.94e-002    1.15e+000     6.73e-002    52:27
 240    7.35e-002    5.66e-002    9.94e-001     6.51e-002    51:34
 250    6.95e-002    5.14e-002    8.87e-001     6.07e-002    50:53
 260    6.46e-002    4.55e-002    8.14e-001     5.53e-002    50:01
 270    5.99e-002    3.98e-002    7.57e-001     5.01e-002    49:43
 280    5.56e-002    3.49e-002    7.04e-001     4.55e-002    48:51
 290    5.19e-002    3.09e-002    6.53e-001     4.16e-002    48:10
 300    4.87e-002    2.77e-002    6.02e-001     3.84e-002    47:30
 310    4.61e-002    2.50e-002    5.52e-001     3.56e-002    46:49
 320    4.37e-002    2.27e-002    5.03e-001     3.33e-002    46:08
 330    4.17e-002    2.07e-002    4.57e-001     3.11e-002    45:17
