Freestream Conditions:
Mach:               0.70
Flow AOA:           0.00 deg
u Velocity:       239.10 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
  10    4.20e-001    4.82e-001    7.90e+000     4.22e-001    53:32
  20    3.46e-001    4.09e-001    5.24e+000     3.47e-001    52:44
  30    2.78e-001    3.64e-001    4.24e+000     2.80e-001    52:12
  40    2.42e-001    3.44e-001    3.56e+000     2.44e-001    51:40
  50    2.20e-001    3.31e-001    3.04e+000     2.21e-001    51:07
  60    2.14e-001    3.23e-001    2.49e+000     2.13e-001    50:35
  70    2.23e-001    3.11e-001    1.71e+000     2.18e-001    50:17
  80    2.16e-001    2.77e-001    1.14e+000     2.05e-001    50:42
  90    1.95e-001    2.52e-001    1.44e+000     1.83e-001    49:12
 100    1.83e-001    2.36e-001    1.60e+000     1.71e-001    48:26
 110    1.73e-001    1.97e-001    1.50e+000     1.56e-001    47:54
 120    1.62e-001    1.59e-001    1.40e+000     1.41e-001    47:21
 130    1.51e-001    1.35e-001    1.36e+000     1.28e-001    47:02
 140    1.44e-001    1.22e-001    1.32e+000     1.19e-001    46:17
 150    1.44e-001    1.26e-001    1.14e+000     1.19e-001    45:44
 160    1.45e-001    1.38e-001    8.54e-001     1.22e-001    45:12
 170    1.42e-001    1.47e-001    6.83e-001     1.20e-001    44:53
 180    1.34e-001    1.50e-001    7.52e-001     1.11e-001    44:07
 190    1.26e-001    1.54e-001    8.97e-001     1.03e-001    43:23
 200    1.21e-001    1.63e-001    1.02e+000     9.93e-002    43:03
 210    1.19e-001    1.75e-001    1.11e+000     1.00e-001    42:55
 220    1.19e-001    1.85e-001    1.18e+000     1.02e-001    41:58
 230    1.18e-001    1.93e-001    1.22e+000     1.03e-001    41:26
 240    1.19e-001    1.98e-001    1.19e+000     1.06e-001    40:54
 250    1.23e-001    2.04e-001    1.08e+000     1.11e-001    41:20
 260    1.28e-001    2.12e-001    8.98e-001     1.18e-001    39:49
 270    1.34e-001    2.22e-001    6.83e-001     1.26e-001    39:05
 280    1.40e-001    2.32e-001    5.12e-001     1.33e-001    38:33
 290    1.44e-001    2.42e-001    4.71e-001     1.40e-001    38:01
 300    1.49e-001    2.50e-001    5.42e-001     1.46e-001    37:40
 310    1.53e-001    2.55e-001    6.26e-001     1.53e-001    36:57
 320    1.57e-001    2.56e-001    6.67e-001     1.59e-001    36:25
 330    1.60e-001    2.54e-001    6.56e-001     1.63e-001    36:03
 340    1.61e-001    2.49e-001    6.13e-001     1.64e-001    35:10
 350    1.58e-001    2.42e-001    5.67e-001     1.62e-001    34:48
 360    1.52e-001    2.35e-001    5.44e-001     1.55e-001    34:26
 370    1.44e-001    2.26e-001    5.44e-001     1.47e-001    33:44
 380    1.34e-001    2.17e-001    5.57e-001     1.36e-001    33:12
 390    1.23e-001    2.07e-001    5.64e-001     1.24e-001    32:40
 400    1.13e-001    1.97e-001    5.63e-001     1.12e-001    32:17
 410    1.03e-001    1.88e-001    5.75e-001     1.01e-001    31:36
 420    9.27e-002    1.79e-001    5.94e-001     8.91e-002    31:58
 430    8.33e-002    1.72e-001    6.42e-001     7.83e-002    30:31
 440    7.63e-002    1.66e-001    6.97e-001     6.91e-002    32:45
 450    7.39e-002    1.63e-001    7.37e-001     6.30e-002    29:27
 460    7.75e-002    1.63e-001    7.43e-001     6.16e-002    28:46
 470    8.60e-002    1.63e-001    7.05e-001     6.52e-002    28:31
 480    9.86e-002    1.59e-001    6.39e-001     7.38e-002    27:51
 490    9.90e-002    1.58e-001    6.63e-001     7.56e-002    27:18
 500    8.06e-002    1.60e-001    5.00e-001     6.63e-002    26:46
 510    7.33e-002    1.63e-001    4.20e-001     6.39e-002    26:14
 520    7.29e-002    1.67e-001    3.94e-001     6.55e-002    25:42
 530    7.51e-002    1.74e-001    3.77e-001     6.87e-002    25:03
 540    8.46e-002    1.81e-001    3.67e-001     7.55e-002    24:38
 550    9.56e-002    1.79e-001    3.70e-001     8.41e-002    24:13
 560    9.93e-002    1.78e-001    4.95e-001     8.84e-002    23:40
 570    8.37e-002    1.77e-001    4.20e-001     8.19e-002    23:01
 580    7.55e-002    1.73e-001    3.86e-001     7.83e-002    22:36
 590    7.23e-002    1.69e-001    3.61e-001     7.63e-002    22:29
 600    7.31e-002    1.63e-001    3.33e-001     7.55e-002    21:37
 610    8.64e-002    1.60e-001    3.00e-001     8.00e-002    20:53
 620    7.74e-002    1.48e-001    3.61e-001     7.52e-002    20:27
 630    6.78e-002    1.41e-001    3.13e-001     6.93e-002    19:54
 640    6.17e-002    1.35e-001    2.72e-001     6.52e-002    19:22
 650    5.78e-002    1.28e-001    2.44e-001     6.19e-002    18:50
 660    5.62e-002    1.22e-001    2.19e-001     5.98e-002    18:17
 670    5.63e-002    1.17e-001    2.01e-001     5.85e-002    17:45
 680    5.70e-002    1.11e-001    2.20e-001     5.78e-002    17:13
 690    5.28e-002    1.06e-001    2.00e-001     5.49e-002    16:45
 700    4.94e-002    1.01e-001    1.81e-001     5.22e-002    16:08
 710    4.67e-002    9.58e-002    1.67e-001     4.98e-002    15:36
 720    4.44e-002    9.06e-002    1.55e-001     4.75e-002    14:59
 730    4.24e-002    8.53e-002    1.43e-001     4.53e-002    14:36
 740    4.05e-002    8.01e-002    1.33e-001     4.30e-002    14:11
 750    3.90e-002    7.50e-002    1.24e-001     4.09e-002    13:27
 760    3.72e-002    6.99e-002    1.15e-001     3.86e-002    12:55
 770    3.58e-002    6.50e-002    1.09e-001     3.65e-002    12:22
 780    3.44e-002    6.03e-002    1.08e-001     3.44e-002    11:50
 790    3.24e-002    5.59e-002    9.98e-002     3.21e-002    11:14
 800    3.07e-002    5.19e-002    9.40e-002     2.99e-002    10:45
 810    2.91e-002    4.83e-002    9.05e-002     2.78e-002    10:13
 820    2.76e-002    4.50e-002    8.92e-002     2.58e-002     9:41
 830    2.62e-002    4.21e-002    8.97e-002     2.39e-002     9:11
 840    2.50e-002    3.96e-002    9.16e-002     2.21e-002     8:36
 850    2.39e-002    3.76e-002    9.43e-002     2.05e-002     8:06
 860    2.29e-002    3.60e-002    9.71e-002     1.90e-002     7:32
 870    2.21e-002    3.49e-002    9.94e-002     1.77e-002     6:59
 880    2.14e-002    3.43e-002    1.01e-001     1.65e-002     6:25
 890    2.09e-002    3.42e-002    1.01e-001     1.57e-002     5:53
 900    2.06e-002    3.45e-002    1.01e-001     1.51e-002     5:21
 910    2.05e-002    3.52e-002    9.96e-002     1.49e-002     4:59
 920    2.05e-002    3.62e-002    9.77e-002     1.49e-002     4:18
 930    2.07e-002    3.74e-002    9.52e-002     1.53e-002     3:46
 940    2.10e-002    3.87e-002    9.27e-002     1.59e-002     3:12
 950    2.14e-002    4.02e-002    9.01e-002     1.66e-002     2:42
 960    2.17e-002    4.16e-002    8.81e-002     1.74e-002     2:08
 970    2.21e-002    4.30e-002    8.64e-002     1.83e-002     1:36
 980    2.26e-002    4.42e-002    8.50e-002     1.92e-002     1:04
 990    2.29e-002    4.53e-002    8.34e-002     2.00e-002     0:32
1000    2.33e-002    4.62e-002    8.24e-002     2.08e-002     0:00
Elapsed time is 3236.847991 seconds.
