Freestream Conditions:
Mach:               0.30
Flow AOA:           0.00 deg
u Velocity:       102.47 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
  10    4.16e-001    7.67e-001    5.37e+000     4.17e-001    75:40
  20    2.97e-001    6.81e-001    3.59e+000     2.98e-001    74:54
  30    2.42e-001    6.74e-001    2.80e+000     2.43e-001    74:08
  40    2.13e-001    6.82e-001    2.27e+000     2.14e-001    73:22
  50    2.20e-001    6.77e-001    1.73e+000     2.21e-001    72:37
  60    2.37e-001    6.71e-001    7.73e-001     2.37e-001    71:51
  70    2.02e-001    6.32e-001    8.85e-001     2.00e-001    71:05
  80    1.80e-001    5.69e-001    1.03e+000     1.76e-001    70:33
  90    1.72e-001    5.92e-001    8.56e-001     1.68e-001    68:51
 100    1.58e-001    6.03e-001    8.44e-001     1.55e-001    69:01
 110    1.57e-001    5.49e-001    8.35e-001     1.54e-001    68:29
 120    1.56e-001    4.68e-001    8.78e-001     1.54e-001    67:29
 130    1.44e-001    3.95e-001    1.01e+000     1.42e-001    66:57
 140    1.34e-001    3.46e-001    1.04e+000     1.31e-001    65:44
 150    1.35e-001    3.16e-001    8.60e-001     1.33e-001    65:11
 160    1.43e-001    2.94e-001    5.14e-001     1.42e-001    63:59
 170    1.41e-001    2.73e-001    4.80e-001     1.39e-001    63:13
 180    1.22e-001    2.58e-001    8.29e-001     1.20e-001    62:40
 190    9.24e-002    2.64e-001    1.08e+000     9.00e-002    61:55
 200    6.48e-002    2.90e-001    1.16e+000     6.21e-002    61:09
 210    5.64e-002    3.25e-001    1.06e+000     5.45e-002    60:35
 220    7.04e-002    3.57e-001    8.10e-001     6.97e-002    59:37
 230    8.52e-002    3.79e-001    4.63e-001     8.53e-002    58:39
 240    9.12e-002    3.90e-001    1.60e-001     9.21e-002    59:04
 250    9.08e-002    3.87e-001    2.45e-001     9.28e-002    57:19
 260    8.91e-002    3.71e-001    4.00e-001     9.24e-002    56:45
 270    8.93e-002    3.43e-001    4.50e-001     9.35e-002    55:59
 280    9.08e-002    3.13e-001    3.96e-001     9.56e-002    59:09
 290    9.03e-002    2.90e-001    3.02e-001     9.55e-002    54:27
 300    8.46e-002    2.80e-001    3.22e-001     9.02e-002    54:57
 310    7.34e-002    2.79e-001    4.46e-001     7.96e-002    52:44
 320    6.09e-002    2.81e-001    5.36e-001     6.76e-002    52:51
 330    5.42e-002    2.81e-001    5.33e-001     6.07e-002    51:12
 340    5.62e-002    2.76e-001    4.38e-001     6.17e-002    50:16
 350    6.12e-002    2.66e-001    3.06e-001     6.60e-002    49:51
