Freestream Conditions:
Mach:               0.30
Flow AOA:           0.00 deg
u Velocity:       102.47 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
  10    1.56e-001    9.77e-002    1.02e-001     3.57e-002     8:45
  20    7.63e-002    4.01e-002    2.94e-002     1.94e-002     8:24
  30    3.47e-002    1.96e-002    2.25e-002     1.08e-002     8:04
  40    2.45e-002    1.22e-002    1.47e-002     6.54e-003     7:44
  50    2.11e-002    1.29e-002    7.13e-003     5.72e-003     7:39
  60    1.95e-002    1.11e-002    2.82e-003     6.37e-003     7:34
  70    1.22e-002    1.56e-002    3.53e-003     4.20e-003     7:44
  80    3.83e-003    1.85e-002    2.87e-003     1.41e-003     7:53
  90    8.87e-003    1.63e-002    9.54e-004     2.34e-003     7:34
 100    1.19e-002    1.30e-002    2.33e-003     2.99e-003     7:15
 110    1.21e-002    1.30e-002    1.07e-003     2.78e-003     7:24
 120    1.18e-002    1.50e-002    8.57e-004     2.72e-003     7:19
 130    1.39e-002    1.58e-002    7.33e-004     4.00e-003     7:14
 140    1.72e-002    1.45e-002    5.28e-004     5.58e-003     6:55
 150    1.92e-002    1.19e-002    8.65e-004     6.49e-003     7:04
 160    1.87e-002    9.06e-003    3.59e-004     6.40e-003     6:46
 170    1.60e-002    7.44e-003    2.68e-004     5.42e-003     6:54
 180    1.17e-002    7.69e-003    2.84e-004     3.88e-003     7:02
 190    7.23e-003    9.17e-003    1.20e-004     2.22e-003     6:31
 200    3.71e-003    1.08e-002    2.66e-004     9.89e-004     6:39
 210    3.06e-003    1.20e-002    1.26e-004     1.17e-003     6:22
 220    4.27e-003    1.23e-002    9.40e-005     1.78e-003     6:29
 230    5.11e-003    1.19e-002    1.19e-004     2.11e-003     6:12
 240    5.33e-003    1.09e-002    2.67e-005     2.17e-003     6:19
 250    5.08e-003    9.56e-003    8.75e-005     2.05e-003     6:14
 260    4.60e-003    8.12e-003    5.00e-005     1.83e-003     6:09
 270    4.02e-003    6.73e-003    3.17e-005     1.58e-003     6:38
 280    3.45e-003    5.49e-003    4.71e-005     1.34e-003     5:48
 290    2.94e-003    4.42e-003    9.51e-006     1.13e-003     5:43
 300    2.48e-003    3.50e-003    3.00e-005     9.39e-004     5:38
 310    2.08e-003    2.73e-003    2.00e-005     7.78e-004     5:33
 320    1.72e-003    2.07e-003    1.02e-005     6.37e-004     5:39
 330    1.40e-003    1.53e-003    1.78e-005     5.14e-004     5:34
 340    1.12e-003    1.07e-003    4.40e-006     4.07e-004     5:19
 350    8.68e-004    7.10e-004    1.03e-005     3.15e-004     5:14
 360    6.51e-004    4.34e-004    7.89e-006     2.35e-004     5:09
 370    4.63e-004    2.55e-004    3.13e-006     1.67e-004     5:04
 380    3.03e-004    2.06e-004    6.57e-006     1.09e-004     4:59
 390    1.70e-004    2.52e-004    2.04e-006     6.06e-005     5:04
 400    7.91e-005    3.08e-004    3.48e-006     2.39e-005     4:50
 410    8.66e-005    3.44e-004    3.09e-006     2.36e-005     4:54
 420    1.43e-004    3.58e-004    9.28e-007     4.53e-005     4:49
 430    1.88e-004    3.50e-004    2.38e-006     6.23e-005     4:44
 440    2.17e-004    3.24e-004    9.15e-007     7.27e-005     4:30
 450    2.28e-004    2.86e-004    1.16e-006     7.67e-005     4:25
 460    2.24e-004    2.39e-004    1.19e-006     7.53e-005     4:21
 470    2.09e-004    1.88e-004    2.78e-007     6.96e-005     4:24
 480    1.86e-004    1.38e-004    8.56e-007     6.11e-005     4:19
 490    1.58e-004    9.18e-005    3.96e-007     5.10e-005     4:06
 500    1.28e-004    5.56e-005    3.78e-007     4.02e-005     4:09
 510    9.90e-005    4.04e-005    4.55e-007     2.97e-005     4:04
 520    7.20e-005    5.04e-005    9.40e-008     2.01e-005     3:59
 530    4.86e-005    6.71e-005    3.04e-007     1.19e-005     3:54
 540    3.02e-005    8.10e-005    1.66e-007     5.83e-006     3:42
 550    1.93e-005    9.01e-005    1.20e-007     4.82e-006     3:44
