Freestream Conditions:
Mach:               1.50
Flow AOA:           0.00 deg
u Velocity:       512.35 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:     500
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
  10    5.15e-001    2.27e-001    1.33e-001     6.10e-002     3:41
  20    3.13e-001    1.32e-001    7.40e-002     3.35e-002     3:29
  30    2.07e-001    8.38e-002    4.81e-002     2.11e-002     3:25
  40    1.37e-001    5.26e-002    2.08e-002     1.40e-002     3:20
  50    7.50e-002    2.43e-002    2.30e-002     4.77e-003     3:16
  60    5.55e-002    1.79e-002    4.78e-003     3.85e-003     3:05
  70    3.80e-002    1.14e-002    3.25e-003     2.67e-003     3:14
  80    2.48e-002    5.78e-003    2.19e-003     2.02e-003     3:03
  90    1.85e-002    3.05e-003    1.06e-003     1.66e-003     3:05
 100    1.55e-002    2.12e-003    6.17e-004     1.44e-003     3:00
 110    1.34e-002    1.74e-003    4.17e-004     1.26e-003     2:50
 120    1.16e-002    1.49e-003    2.84e-004     1.09e-003     2:51
 130    1.01e-002    1.29e-003    1.90e-004     9.53e-004     2:41
 140    9.03e-003    1.15e-003    1.24e-004     8.51e-004     2:37
 150    8.39e-003    1.07e-003    7.83e-005     7.90e-004     2:38
 160    7.98e-003    1.02e-003    4.81e-005     7.51e-004     2:28
 170    7.52e-003    9.59e-004    2.86e-005     7.08e-004     2:29
 180    6.87e-003    8.76e-004    1.64e-005     6.46e-004     2:19
 190    6.02e-003    7.68e-004    9.12e-006     5.67e-004     2:15
 200    5.05e-003    6.45e-004    4.88e-006     4.76e-004     2:11
 210    4.07e-003    5.20e-004    2.52e-006     3.83e-004     2:02
 220    3.16e-003    4.03e-004    1.25e-006     2.97e-004     2:02
 230    2.36e-003    3.01e-004    5.96e-007     2.22e-004     2:02
 240    1.71e-003    2.18e-004    2.74e-007     1.61e-004     1:57
 250    1.20e-003    1.53e-004    1.23e-007     1.13e-004     1:53
 260    8.22e-004    1.05e-004    5.59e-008     7.74e-005     1:48
 270    5.49e-004    7.00e-005    2.75e-008     5.17e-005     1:40
 280    3.58e-004    4.57e-005    1.53e-008     3.37e-005     1:39
 290    2.28e-004    2.91e-005    9.09e-009     2.15e-005     1:31
 300    1.43e-004    1.82e-005    5.47e-009     1.35e-005     1:24
 310    8.78e-005    1.12e-005    3.22e-009     8.26e-006     1:22
 320    5.30e-005    6.77e-006    1.84e-009     4.99e-006     1:18
 330    3.15e-005    4.02e-006    1.02e-009     2.97e-006     1:14
 340    1.84e-005    2.36e-006    5.53e-010     1.74e-006     1:12
 350    1.06e-005    1.36e-006    2.92e-010     1.00e-006     1:05
 360    6.07e-006    7.75e-007    1.51e-010     5.71e-007     1:03
 370    3.41e-006    4.36e-007    7.62e-011     3.21e-007     0:58
 380    1.90e-006    2.42e-007    3.79e-011     1.79e-007     0:52
 390    1.04e-006    1.33e-007    1.85e-011     9.83e-008     0:49
 400    5.68e-007    7.25e-008    8.94e-012     5.35e-008     0:42
 410    3.06e-007    3.91e-008    4.25e-012     2.88e-008     0:46
 420    1.63e-007    2.08e-008    2.00e-012     1.54e-008     0:36
 430    8.63e-008    1.10e-008    9.31e-013     8.13e-009     0:30
 440    4.53e-008    5.78e-009    4.31e-013     4.26e-009     0:26
 450    2.35e-008    3.01e-009    2.06e-013     2.22e-009     0:21
 460    1.21e-008    1.55e-009    1.01e-013     1.14e-009     0:17
 470    6.22e-009    7.94e-010    6.70e-014     5.86e-010     0:13
 480    3.16e-009    4.04e-010    5.82e-014     2.98e-010     0:09
 490    1.60e-009    2.04e-010    5.37e-014     1.50e-010     0:04
 500    8.01e-010    1.02e-010    5.89e-014     7.54e-011     0:00
Elapsed time is 221.957171 seconds.
