Freestream Conditions:
Mach:               1.50
Flow AOA:           0.00 deg
u Velocity:       512.35 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:     300
CFL:           0.70
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
  10    4.05e-001    3.73e-001    6.10e+000     4.19e-001     5:39
  20    2.78e-001    2.38e-001    3.89e+000     2.76e-001     5:23
  30    2.18e-001    1.81e-001    2.81e+000     2.10e-001     5:24
  40    1.89e-001    1.58e-001    2.27e+000     1.77e-001     5:04
  50    1.80e-001    1.50e-001    1.90e+000     1.65e-001     4:56
  60    1.83e-001    1.52e-001    1.39e+000     1.70e-001     4:40
  70    1.57e-001    1.07e-001    1.42e+000     1.37e-001     4:32
  80    1.36e-001    6.99e-002    1.41e+000     1.12e-001     4:24
  90    1.26e-001    5.76e-002    1.26e+000     1.02e-001     4:08
 100    1.19e-001    5.31e-002    1.13e+000     9.67e-002     3:57
 110    1.15e-001    5.38e-002    1.03e+000     9.37e-002     3:42
 120    1.14e-001    5.68e-002    9.58e-001     9.30e-002     3:33
 130    1.17e-001    5.89e-002    8.88e-001     9.51e-002     3:24
 140    1.26e-001    5.99e-002    7.89e-001     1.03e-001     3:12
 150    1.28e-001    6.13e-002    7.44e-001     1.09e-001     3:00
 160    1.25e-001    6.21e-002    7.14e-001     1.12e-001     2:48
 170    1.22e-001    6.28e-002    6.92e-001     1.12e-001     2:34
 180    1.18e-001    6.25e-002    6.59e-001     1.12e-001     2:24
 190    1.14e-001    6.11e-002    6.44e-001     1.10e-001     2:12
 200    1.12e-001    6.02e-002    6.36e-001     1.10e-001     2:00
 210    1.11e-001    6.08e-002    6.20e-001     1.12e-001     1:49
 220    1.11e-001    6.27e-002    6.10e-001     1.15e-001     1:36
 230    1.11e-001    6.49e-002    6.10e-001     1.17e-001     1:26
 240    1.12e-001    6.70e-002    6.22e-001     1.19e-001     1:13
 250    1.12e-001    6.86e-002    6.40e-001     1.21e-001     1:00
 260    1.11e-001    6.98e-002    6.60e-001     1.21e-001     0:48
 270    1.10e-001    7.07e-002    6.76e-001     1.22e-001     0:36
 280    1.09e-001    7.13e-002    6.88e-001     1.21e-001     0:24
 290    1.08e-001    7.17e-002    6.96e-001     1.21e-001     0:12
 300    1.07e-001    7.19e-002    7.01e-001     1.20e-001     0:00
Elapsed time is 366.816779 seconds.
